,CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO,ANO,theta_065,imagAPI,OCRSearch,theta_080,theta_099,PercentEspAcerto,IN_ENCCEJA,IN_ENEM
2316,136,MT,63187,D,"1,0",0,,"1,86876","0,4293","0,12552",Cinza,PROVA CINZA REGULAR,,"0,0",2019,"542,9403781890869",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/63187.png,"Questão 136

A gripe é uma infecção respiratória aguda de curta
duração causada pelo virus influenza. Ao entrar no
nosso organismo pelo nariz, esse vírus multiplica-se,
disseminando-se para a garganta e demais partes das.
vias respiratórias, incluindo os pulmões.

O virus influenza é uma partícula esférica que tem
um diâmetro interno de 0,00011 mm.

Disponível em: ww gripenet pt. Acesso em: 2 nov. 2013 (adaptado).
Em notação científica, o diâmetro intemo do virus
influenza, em mm, é
O 11101
o 11102
o 11103
O 1104
e 11108

","607,9809665679932","781,5663814544678","56,28",0,1
693,169,MT,26004,C,"2,0",0,,"1,16938","1,33499","0,22347",Cinza,PROVA CINZA PPL,,"0,0",2015,"633,4846019744873",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/26004.png,"QUESTÃO 169

O padrão intemacional ISO 216 define os tamanhos de
papel utilizados em quase todos os países. O formato-base
é uma folha retangular de papel chamada de AO, cujas
dimensões estão na razão 1 :v2. A partir de então, dobra-se
a folha ao meio, sempre no lado maior, definindo os
demais formatos, conforme o número da dobradura.
Por exemplo, A1 é a folha AO dobrada ao meio uma vez,
A2 é a folha AQ dobrada ao meio duas vezes, e assim
sucessivamente, conforme figura.

Um tamanho de papel bastante comum em escritórios.
brasileiros é o A4, cujas dimensões são 21,0 cm por 29,7 cm.

Quais são as dimensões, em centimetros, da folha AO?
o 210xn88

O 840x29,7

O moxn8s

O 1680x2376

O 3360x 4752
","724,0359783172607","1004,5759677886964","61,17",0,1
1301,1,MT,17291,B,"3,0",0,,"1,50418","1,51711","0,14864",CINZA,PROVA CINZA PPL,,"0,0",2017,"651,7045497894287",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/17291.png,"QUESTÃO 136

Em certa loja de roupas, o lucro na venda de uma
camiseta é de 25% do preço de custo da camiseta pago
pela loja. Já o lucro na venda de uma bermuda é de
30% do preço de custo da bermuda, e na venda de uma
calça o lucro é de 20% sobre o preço de custo da calça.
Um cliente comprou nessa loja duas camisetas, cujo preço
de custo foi R$ 40,00 cada uma, uma bermuda que teve
preço de custo de R$ 60,00 e duas calças, ambas com
mesmo preço de custo. Sabe-se que, com essa compra,
o cliente proporcionou um lucro de R$ 78,00 para a loja.

Considerando essas informações, qual foi o preço de
custo, em real, pago por uma calça?

90

100

125

195

200

VOVoOo
","730,2086353302002","946,385145187378","57,43",0,1
2617,158,MT,60666,C,"4,0",0,,"0,96583","2,50648","0,2049",CINZA,PROVA CINZA REGULAR,,"0,0",2020,"750,622034072876",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/60666.png,"Questão 158 757

Uma pessoa precisa comprar 15 sacos de cimento
para uma reforma em sua casa. Faz pesquisa de preço em
cinco depósitos que vendem o cimento de sua preferênci
e cobram frete para entrega do material, conforme a
distância do depósito à sua casa. As informações sobre
prego do cimento, valor do frete e distância do depósito
até a casa dessa pessoa estão apresentadas no quadro.

Varão 7 | Distância ento
oco seco) frete para cada acasaeo
Depósito | Secimento | ""aômero | “depósito
(Rs) (Rs) (em)
A 23,00 1,00 10
B 21,50 3,00 12
c 22,00 1,50) 14
D 21,00 3,50 18
E 24,00 250 2

A pessoa escolherá um desses depósitos para
realizar sua compra, considerando os preços do cimento
e do frete oferecidos em cada opção.

“Se a pessoa decidir pela opção mais econômica, o depósito
escolhido para a realização dessa compra será o
","863,54660987854","1202,4061679840088","60,24",0,1
2378,167,MT,66929,C,"5,0",0,,"1,97729","1,94701","0,0927",Cinza,PROVA CINZA PPL,,"0,0",2019,"694,7128772735596",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/66929.png,"Questão 167

Para a compra de um repelente eletrônico, uma

pessoa fez uma pesquisa nos mercados de seu bai

Cada tipo de repelente pesquisado traz escrito no rótulo
da embalagem as informações quanto à duração, em

dia, associada à quantidade de horas de utilização por

dia. Essas informações e o preço por unidade foram

representados no quadro.
Tipo| Duração | Horaspordia | Preço
emdia | deutilização | emreal

! 30 12 12,00

u 32 9 9,00

D 40 10, 10,00

V “4 8 11,00

v 48 8 12.00

A pessoa comprará aquele que apresentar o menor
custo diário, quando ligado durante 8 horas por dia.
Nessas condições, o repelente eletrônico que essa
pessoa comprará é do tipo

o!

oi
eu
oi
ev
","758,5828304290771","922,1236705780028","54,64",0,1
753,149,MT,30365,E,"6,0",0,,"2,02151","2,54329","0,23534",Cinza,PROVA CINZA REGULAR,,"0,0",2015,"754,3365955352783",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/30365.png,"QUESTÃO 149 000000====———————————————

Devido ao aumento do fluxo de passageiros, uma
empresa de transporte coletivo urbano está fazendo
estudos para a implantação de um novo ponto de parada
em uma determinada rota. A figura mostra o percurso,
indicado pelas setas, realizado por um ônibus nessa rota
e a localização de dois de seus atuais pontos de parada,
representados por Pe Q.

y

ol 30 55 x

Os estudos indicam que o novo ponto T deverá
ser instalado, nesse percurso, entre as paradas
já existentes P e Q, de modo que as distâncias
percorridas pelo ônibus entre os pontos P e T e entre
os pontos T e Q sejam iguais.

De acordo com os dados, as coordenadas do novo ponto
de parada são

e (290 ; 20).

410; 0)

410; 20)

440 ; 0)

o (
(
(
(440; 20).

e
ED)
e
","805,6728839874268","968,212366104126","61,77",0,1
833,157,MT,39997,C,"7,0",0,,"2,98339","2,27397","0,12458",Cinza,PROVA CINZA PPL,,"0,0",2015,"727,3976802825928",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/39997.png,"QUESTÃO 157

Um protocolo tem como objetivo firmar acordos
e discussões intemacionais para conjuntamente
estabelecer metas de redução de emissão de gases de
efeito estufa na atmosfera. O quadro mostra alguns dos
países que assinaram o protocolo, organizados de acordo
com o continente ao qual pertencem.

Países da América | pa Asi
SS Países da Ásia
Estados Unidos
da América China
Canadá Índia
México Japão

Em um dos acordos firmados, ao final do ano, dois
dos países relacionados serão escolhidos aleatoriamente,
um após o outro, para verificar se as metas de redução do
protocolo estão sendo praticadas.

A probabilidade de o primeiro país escolhido pertencer à
América do Norte e o segundo pertencer 0 continente
asiático é

q
o+
a
3
“o
2
ºs

","768,1910991668701","876,9123554229736","56,23",0,1
3322,179,MT,31145,C,"8,0",0,,"1,87462","1,81557","0,18845",CINZA,PROVA CINZA PPL,,,2021,"681,5497875213623",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/31145.png,"Questão 179 enem

Um brinquedo muito comum em parques de
diversões é o balanço. O assento de um balanço fica a
uma altura de meio metro do chão, quando não está em
uso. Cada uma das correntes que o sustenta tem medida
do comprimento, em metro, indicada por x. A estrutura do
balanço é feita com barras de ferro, nas dimensões, em
metro, conforme a figura.

Nessas condições, o valor, em metro, de x é igual a

o v2-0,5
015
o V8-0,5
","741,1782741546631","915,414571762085","59,42",0,1
2867,149,MT,111525,E,"9,0",0,,"2,14544","1,73587","0,22609",CINZA,PROVA CINZA REGULAR,,"0,0",2020,"673,577070236206",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/111525.png,"Questão 149 ssvs=Ss=s505

A le municipal para a edificação de casas em lotes.
de uma cidade determina que sejam obedecidos os
seguintes critérios:

+ afastamento mínimo de 4 m da rua;

+ afastamento mínimo de 1 m da divisa com outro lote;

+ área total construída da casa entre 40% e 50% da

área total do lote.

Um construtor submeteu para aprovação na
prefeitura dessa cidade uma planta com propostas para a
“construção de casas em seus 5 lotes. Cada lote tem área
medindo 200 mê.

A imagem apresenta um esquema, sem escala,
no qual estão representados os lotes, as ruas e os
afastamentos considerados nos projetos entre as
casas e as divisas dos lotes. As medidas indicadas no
esquema estão expressas em metro.

ELE
ES -

0000
arena
","722,7222919464111","875,6844997406006","61,3",0,1
2822,166,MT,96365,C,"10,0",0,,"3,42172","2,04343","0,24065",AMARELA,MATEMATICA DIGITAL AMARELA,,"0,0",2020,"704,3402194976807",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/96365.png,"De acordo com pesquisas recentes, a expectativa de vida do brasileiro subiu de 74,6
anos, em 2012, para 74,9 anos, em 2015. Dentre os possíveis fatores para esse aumento
estão a melhoria do sistema de saúde, o aumento da renda familiar e a prática de exercícios
físicos.

Para tornar essa notícia do aumento da expectativa de vida do brasileiro mais expressiva,
converteu-se esse aumento para a quantidade de dias.

Considere que para esta conversão o número de dias em cada mês foi fixado em 30.

Com base nas informações, que cálculo correspondeu a essa conversão?

meses =3x30 dias.

0.3x365 dias

0,3x1ano=0,3x12 meses =

830 dias
1 1
0.3x1ano = 5x12x30 dias = 7 x360 dias

03x tano=

3 x 12 meses —

(O)
(o)
(O)

6 meses = 3x 30 dias + 6 dias.
","734,4000339508057","830,4970264434814","62,03",0,1
2337,147,MT,23881,C,"11,0",0,,"2,72078","1,49075","0,31378",Cinza,PROVA CINZA PPL,,"0,0",2019,"649,0771770477295",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/23881.png,"Questão 147

Em um trabalho escolar, um aluno fez uma planta
do seu bairo, utilizando a escala 1 : 500, sendo que as
quadras possuem as mesmas medidas, conforme a figura.

EE)

ca [mr

O professor constatou que o aluno esqueceu de
colocar a medida do comprimento da ponte na planta,
mas foi informado por ele que ela media 73 m.

O valor a ser colocado na planta, em centímetro,
referente ao comprimento da ponte deve ser

O 146

os.

e 146

o es.

e 146
","681,7262172698975","803,9538860321045","65,69",0,1
