,CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO,ANO,theta_065,imagAPI,OCRSearch,theta_080,theta_099,PercentEspAcerto,IN_ENCCEJA,IN_ENEM
2401,179,MT,25440,E,"1,0",0,,"1,92613","2,57595","0,05118",Cinza,PROVA CINZA PPL,,"0,0",2019,"757,5981616973877",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/25440.png,"Questão 179

O boliche é um esporte cujo objetivo é derrubar, com
uma bola, uma série de pinos alinhados em uma pista.
A professora de matemática organizou um jogo de
boliche em que os pinos são garrafas que possuem
rótulos com números, conforme mostra o esquema.

O aluno marca pontos de acordo com a soma das
quantidades expressas nos rótulos das garrafas que
são derrubadas. Se dois ou mais rótulos representam
a mesma quantidade, apenas um deles entra na
“contagem dos pontos. Um aluno marcou 7,55 pontos em
uma jogada. Uma das garrafas que ele derrubou tinha o
rótulo 6,8.

A quantidade máxima de garrafas que ele derrubou para
obter essa pontuação é igual a

o2
os
o.
os
es
","826,1363506317139","993,406057357788","52,56",0,1
1227,147,MT,40660,A,"2,0",0,,"1,35187","2,42336","0,15877",AZUL,PROVA AZUL REGULAR,,"0,0",2016,"742,3417568206787",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/40660.png,"QUESTÃO 147

O tênis é um esporte em que a estratégia de jogo a ser
adotada depende, entre outros fatores, de o adversário
Ser canhoto ou destro.

Um clube tem um grupo de 10 tenistas, sendo
que 4 são canhotos e 6 são destros. O técnico do clube
deseja realizar uma partida de exibição entre dois desses
jogadores, porém, não poderão ser ambos canhotos.
Qual 0 número de possibilidades de escolha dos tenistas.
para a partida de exibição?

1a! a
2x8 2x2
101 4
sa

1a!
axe

[D) Sra
","828,5181522369385","1069,3137645721436","57,94",0,1
2568,168,MT,46653,D,"3,0",0,,"1,89445","2,55103","0,14731",AMARELA,MATEMATICA DIGITAL AMARELA,,"0,0",2020,"755,1138401031494",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/46653.png,"Eduardo deseja criar um e-mail utilizando um anagrama exclusivamente com as sete
letras que compõem o seu nome, antes do símbolo O

O e-mail terá a forma *=""=gsite. com.br e será de tal modo que as três letras “edu”
apareçam sempre juntas e exatamente nessa ordem.

Ele sabe que o e-mail eduardo(Osite.com br já foi criado por outro usuário e que qualquer
outro agrupamento das letras do seu nome forma um e-mail que ainda não foi cadastrado.
De quantas maneiras Eduardo pode criar um e-mail desejado?

os

""9

0000

120
","817,5365924835205","989,1550540924072","57,37",0,1
2382,169,MT,83994,A,"4,0",0,,"1,78432","1,1667","0,0455",Cinza,PROVA CINZA REGULAR,,"0,0",2019,"616,6808605194092",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/83994.png,"Questão 169

Um casal planejou uma viagem e definiu como teto para o gasto diário um valor de até R$ 1 000,00. Antes de
decidir o destino da viagem, fizeram uma pesquisa sobre a taxa de
que desejavam visitar e também sobre as estimativas de gasto

destino que apresentasse o menor custo diário em real.
O quadro mostra os resultados obtidos com a pesquisa realizada.

imbio vigente para as moedas de cinco países
em cada um, com o objetivo de escolher o

País de destino Moeda local Taxa de câmbio Gasto diário
França Euro (€) R$ 3.14 315,00 €
EUA Dólar (US$) R$2,78 USS 390,00
Austrália Dólar australiano (AS) R$214 AS 400,00
Canadá Dólar canadense (C$) R$2,10 C$ 410,00
Reino Unido Libra esterina (£) R$424 £ 290,00
Nessas condições, qual será o destino escolhido para a viagem?
O Austrália,
O Canadá.
O EUA
O França.

Reino Unido.

","691,0817623138428","871,5598583221436","52,28",0,1
3429,172,MT,86499,B,"5,0",0,,"2,93676","3,33565","0,21207",CINZA,PROVA CINZA REGULAR,,"0,0",2022,"833,5583209991455",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/86499.png,"QUESTÃO 172

Uma montadora de automóveis divulgou que oferta a
seus clientes mais de 1 000 configurações diferentes de
carro, variando o modelo, a motorização, os opcionais e
a cor do veículo. Atualmente, ela oferece 7 modelos de
carros com 2 tipos de motores: 1.0 e 1.6. Já em relação
aos opcionais, existem 3 escolhas possíveis: central
multimídia, rodas de liga leve e bancos de couro, podendo
o cliente optar por incluir um, dois, três ou nenhum dos
opcionais disponíveis.

Para ser fiel à divulgação feita, a quantidade mínima
de cores que a montadora deverá disponibilizar a seus

","870,2819347381592","981,8260669708252","60,6",0,1
3243,157,MT,126019,E,"6,0",0,,"0,37654","4,78322","0,0371",CINZA,PROVA CINZA REGULAR,,,2021,"978,3761501312256",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/126019.png,"Questão 1577 === enem

O Atomium, representado na imagem, é um
dos principais pontos turísticos de Bruxelas. Ele foi
construído em 1958 para a primeira grande exposição
mundial depois da Segunda Guerra Mundial, a Feira
Mundial de Bruxelas.

Trata-se de uma estrutura metálica construída no
formato de um cubo. Essa estrutura está apoiada por um
dos vértices sobre uma base paralela ao plano do solo,
e a diagonal do cubo, contendo esse vértice, é ortogonal
ao plano da base. Centradas nos vértices desse cubo,
foram construídas oito esferas metálicas, e uma outra
esfera foi construída centrada no ponto de interseção das
diagonais do cubo. As oito esferas sobre os vértices são
interligadas segundo suas arestas, e a esfera central se
“conecta a elas pelas diagonais do cubo.

Todas essas interigações são feitas por tubos
cilindricos que possuem escadas em seu interior,
permitindo o deslocamento de pessoas pela parte
intema da estrutura. Na diagonal ortogonal à base, o
deslocamento é feito por um elevador, que permite o
deslocamento entre as esferas da base e a esfera do
ponto mais alto, passando pela esfera central.

Considere um visitante que se deslocou pelo interior
do Atomium sempre em linha reta e seguindo o menor
trajeto entre dois vértices, passando por todas as arestas
e todas as diagonais do cubo.

Disenivel em: pueda com Acaso em 25 ot 2018,

A projeção ortogonal sobre o plano do solo do trajeto
percorrido por esse visitante é representada por

","1333,8773250579834","2188,5316371917725","51,86",0,1
3428,173,MT,5961,D,"7,0",0,,"0,9032","2,45135","0,1617",CINZA,PROVA CINZA REGULAR,,"0,0",2022,"745,1074123382568",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/5961.png,"QUESTÃO 173

Dentre as diversas planificações possíveis para o
cubo, uma delas é a que se encontra apresentada na
Figura 1.

Figura 1

Em um cubo, foram pintados, em três de suas faces,
quadrados de cor cinza escura, que ocupam um quarto
dessas faces, tendo esses três quadrados um vértice em
comum, conforme ilustrado na Figura 2.

A A

Figura 2

A planificação do cubo da Figura 2, conforme o tipo de
planificação apresentada na Figura 1, é

EEE
o
La
EEE
o |
EEE
o
LE |
ELE
o
""|
ELE
o
m

","873,6221790313721","1234,1516017913818","58,08",0,1
1979,153,MT,15884,D,"8,0",0,,"1,0681","2,89341","0,16386",Cinza,PROVA CINZA REGULAR,,"0,0",2018,"789,3269062042236",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/15884.png,"QUESTÃO 153

A figura mostra uma praça circular que contém
um chafariz em seu centro e, em seu entorno, um
passeio. Os círculos que definem a praça e o chafariz
são concêntricos.

ojassed

passeio

h

O passeio terá seu piso revestido com ladrilhos. Sem
condições de calcular os raios, pois o chafariz está cheio,
um engenheiro fez a seguinte medição: esticou uma
trena tangente ao chafariz, medindo a distância entre
dois pontos A e 8, conforme a figura. Com isso, obteve a
medida do segmento de reta AB: 16 m.

=
=

Dispondo apenas dessa medida, o engenheiro
calculou corretamente a medida da área do passeio, em
metro quadrado.

A medida encontrada pelo engenheiro foi
alia

oe

o ss

o em

e 1927

","897,6738452911377","1202,6159763336182","58,19",0,1
2319,138,MT,63808,E,"9,0",0,,"2,89605","1,98685","0,08712",Cinza,PROVA CINZA REGULAR,,"0,0",2019,"698,6920833587646",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/63808.png,"Questão 138

Em um condomínio, uma área pavimentada, que
tem a forma de um círculo com diâmetro medindo 6 m,
é cercada por grama. A administração do condomínio
deseja ampliar essa área, mantendo seu formato
ircular, e aumentando, em 8 m, o diâmetro dessa
região, mantendo o revestimento da parte já existente.
O condomínio e, em estoque, de material
suficiente para pavimentar mais 100 mê de área.
O síndico do condomínio irá avaliar se esse material
disponível será suficiente para pavimentar a região a
ser ampliada.

Utilize 3 como aproximação para 7.
A conclusão correta a que o síndico deverá chegar,
considerando a nova área a ser pavimentada, é a de
que o material disponível em estoque

O será suficiente, pois a área da nova região a ser
pavimentada mede 21 m2.

O será suficiente, pois a área da nova região a ser
pavimentada mede 24 m2.

O será suficiente, pois a área da nova região a ser
pavimentada mede 48 m2.

O não será suficiente, pois a área da nova região a ser
pavimentada mede 108 mê

& não será suficiente, pois a área da nova região a ser
pavimentada mede 120 m2
","742,5730228424072","854,1719913482666","54,36",0,1
2030,178,MT,111524,A,"10,0",0,,"3,86138","1,36143","0,14915",Cinza,PROVA CINZA REGULAR,,"0,0",2018,"636,1453533172607",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/111524.png,"QUESTÃO 178

Numa atividade de treinamento realizada no Exército
de um determinado país, três equipes — Alpha, Beta
e Gama — foram designadas a percorrer diferentes
“caminhos, todos com os mesmos pontos de partida e de
chegada.

+ Aequipe Alpha realizou seu percurso em 90 minutos
“com uma velocidade média de 6,0 kmh.

* A equipe Beta também percorreu sua trajetória
em 90 minutos, mas sua velocidade média foi
de 5,0 kmlh.

+ Com uma velocidade média de 6,5 km/h, a equipe
Gama concluiu seu caminho em 60 minutos.

Com base nesses dados, foram comparadas as

distâncias d,.; duna & Gsons percorridas pelas três equipes.

A ordem das distâncias percorridas pelas equipes Alpha,

em <a < Gama

uma < uso < Dacia
","666,701078414917","750,9152889251709","57,46",0,1
